                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0673,                 1.6985,                 3.3119,                 1.0885,                0.77042,                0.11677,                0.28375,                0.19995,                0.77042,                0.11677,                0.28182,                0.21241,                 1.0128,                 1.5639,                 3.5309,                 1.0417,             0.00047079,             0.00047079,             0.00047079
                      2,                 1.0476,                 1.4881,                 2.2168,                 1.0667,                0.62538,                0.39967,                0.37803,                0.25931,                0.62433,                0.39833,                0.37694,                0.27101,                 1.0725,                 2.0634,                 2.3549,                 1.1494,             0.00085336,             0.00085336,             0.00085336
                      3,                 1.0503,                 1.4475,                 1.7597,                 1.0857,                0.63715,                0.40476,                0.40312,                0.26947,                 0.6372,                0.39993,                0.40026,                0.28535,                 1.1012,                 1.7435,                 2.1515,                 1.1266,              0.0011416,              0.0011416,              0.0011416
                      4,                 1.0326,                 1.4128,                 1.4471,                 1.0802,                0.81942,                0.41764,                0.46066,                 0.3209,                0.82494,                 0.4192,                0.46118,                0.34815,                 1.0887,                 1.4657,                 1.5144,                 1.1322,              0.0010046,              0.0010046,              0.0010046
                      5,                0.99164,                 1.3334,                 1.2108,                 1.0665,                0.86759,                0.45874,                0.49368,                0.35723,                0.86005,                0.45696,                 0.4911,                0.36418,                0.98366,                 1.4576,                 1.0775,                 1.0875,             0.00086312,             0.00086312,             0.00086312
                      6,                0.92275,                 1.2866,                 1.0367,                 1.0277,                0.77926,                0.43441,                0.46016,                0.33674,                0.78339,                0.43097,                0.46188,                0.34395,                0.91565,                 1.3851,                 1.2515,                  1.069,             0.00072164,             0.00072164,             0.00072164
                      7,                0.88649,                 1.2514,                0.92513,                 1.0216,                0.86991,                0.46712,                0.50114,                0.37806,                0.86991,                0.46712,                0.50173,                0.38388,                0.90162,                 1.3788,                0.92371,                 1.0442,             0.00058017,             0.00058017,             0.00058017
                      8,                0.83615,                 1.1647,                0.78807,                0.99314,                0.90892,                0.49314,                0.53113,                 0.3995,                0.91145,                0.49454,                 0.5295,                0.40961,                0.90446,                 1.3019,                0.78761,                 1.0413,              0.0004387,              0.0004387,              0.0004387
                      9,                0.80656,                 1.1127,                0.70551,                0.96715,                 0.9181,                0.50198,                0.55012,                0.42575,                 0.9183,                0.50206,                0.54924,                0.42844,                0.84407,                  1.241,                0.69287,                 1.0274,             0.00029723,             0.00029723,             0.00029723
                     10,                0.77231,                 1.0808,                0.63889,                0.95839,                 0.9461,                0.50302,                 0.5542,                0.43648,                0.95202,                0.50385,                0.55415,                0.43989,                0.83323,                 1.2646,                0.63676,                 1.0235,             0.00015576,             0.00015576,             0.00015576
