epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.542,1.12714,1.78332,3.07077,1.15123,0.70472,0.17418,0.2358,0.1723,0.72103,0.177,0.24232,0.17335,1.03008,1.99352,3.94565,1.17905,0.000470795,0.000470795,0.000470795
2,1248.01,1.18257,1.75104,2.1374,1.19513,0.62693,0.34735,0.37443,0.2596,0.62943,0.34877,0.37482,0.26684,1.10789,1.72223,2.55418,1.16976,0.000928375,0.000928375,0.000928375
3,1820.34,1.14051,1.67064,1.7403,1.17712,0.68309,0.38607,0.38734,0.2689,0.6848,0.38738,0.38655,0.25377,1.16126,2.31842,1.82833,1.22206,0.00136709,0.00136709,0.00136709
4,2506.65,1.16772,1.61989,1.53354,1.20903,0.66483,0.40314,0.39361,0.26468,0.66483,0.40314,0.39531,0.27418,1.12697,1.68388,1.82399,1.28079,0.00134412,0.00134412,0.00134412
5,3155.64,1.15561,1.60804,1.33394,1.2034,0.71257,0.43611,0.43766,0.30335,0.71024,0.4348,0.43703,0.31101,1.0893,1.66129,1.2831,1.21565,0.00131582,0.00131582,0.00131582
6,3719.12,1.1171,1.57221,1.23009,1.19137,0.7139,0.39147,0.43363,0.30059,0.71248,0.38963,0.43171,0.31349,1.0564,1.5579,1.42632,1.16412,0.00128753,0.00128753,0.00128753
7,4281.08,1.08544,1.5031,1.10444,1.14781,0.81963,0.45426,0.47852,0.34839,0.81544,0.45191,0.47832,0.35852,1.01153,1.46727,1.03459,1.15623,0.00125923,0.00125923,0.00125923
8,4842.53,1.06629,1.52953,1.07902,1.15063,0.84029,0.46277,0.49106,0.36042,0.84029,0.46277,0.49002,0.36302,0.97427,1.47779,1.06995,1.12621,0.00123094,0.00123094,0.00123094
9,5406.22,1.03352,1.52044,1.00687,1.135,0.84245,0.47836,0.52482,0.38613,0.83768,0.47389,0.5217,0.39381,0.98113,1.54185,0.86349,1.11351,0.00120265,0.00120265,0.00120265
10,5966.6,1.04673,1.46844,0.97946,1.1265,0.83373,0.46837,0.49775,0.36205,0.84078,0.46837,0.49629,0.37432,0.96432,1.42107,0.84284,1.1347,0.00117435,0.00117435,0.00117435
